['bright', 'green', 'action', 'black', 'dark']
['picture', 'baseball', 'cake', 'showing', 'wii']
['picture', 'showing', 'shows', 'different', 'pictures']
['man', 'men', 'standing', 'people', 'group']
['man', 'giant', 'swinging', 'young', 'holding']
['man', 'arms', 'ball', 'swing', 'standing']
['man', 'shirt', 'looking', 'using', 'phone']
['bananas', 'mans', 'standing', 'yellow', 'people']
['sign', 'baseball', 'bat', 'man', 'swing']
['playing', 'man', 'holding', 'standing', 'young']
['man', 'ties', 'posing', 'signs', 'sign']
['sign', 'traffic', 'blue', 'scissors', 'commercial']
['jumping', 'pitch', 'pitcher', 'ball', 'playing']
['vase', 'surfing', 'children', 'people', 'sun']
['standing', 'cow', 'man', 'black', 'woman']
['dress', 'posing', 'woman', 'poses', 'wearing']
['ripe', 'scissors', 'bright', 'eyes', 'picture']
['luggage', 'man', 'standing', 'suitcase', 'airport']
['group', 'people', 'family', 'posing', 'tv']
['man', 'tie', 'wearing', 'wedding', 'hair']
['screen', 'game', 'tennis', 'court', 'green']
['sign', 'green', 'bird', 'grassy', 'slope']
['riders', 'cell', 'beach', 'people', 'standing']
['hair', 'brushing', 'woman', 'girl', 'face']
['bathroom', 'picture', 'bright', 'photo', 'smart']
['hat', 'man', 'wearing', 'cap', 'person']
['dark', 'wooded', 'background', 'surface', 'brown']
['standing', 'pictures', 'group', 'people', 'posing']
['television', 'screen', 'man', 'gear', 'men']
['picture', 'ties', 'photo', 'posing', 'woman']
['clock', 'tower', 'large', 'big', 'building']
['pink', 'bear', 'teddy', 'sheep', 'picture']
['purple', 'beer', 'light', 'lights', 'sitting']
['ripe', 'commuter', 'eyes', 'bathroom', 'picture']
['wearing', 'man', 'tie', 'hat', 'hair']
['sign', 'photo', 'picture', 'black', 'white']
['screen', 'closeup', 'showing', 'picture', 'laptop']
['brick', 'building', 'posing', 'standing', 'garden']
['sign', 'street', 'reads', 'road', 'says']
['blue', 'shirt', 'holding', 'man', 'wearing']
['water', 'standing', 'woman', 'boat', 'holding']
['dress', 'woman', 'red', 'posing', 'cap']
['woman', 'pretty', 'beautiful', 'face', 'girl']
['red', 'pitch', 'pink', 'vase', 'statue']
['kites', 'sky', 'trees', 'seen', 'snow']
['person', 'cloudy', 'man', 'holding', 'picture']
['group', 'standing', 'skiers', 'posing', 'stand']
['bed', 'toy', 'blue', 'animal', 'hat']
['french', 'cake', 'platform', 'pie', 'table']
['baseball', 'field', 'men', 'man', 'performing']
['child', 'little', 'boy', 'young', 'small']
['man', 'bed', 'person', 'laying', 'pillow']
['dog', 'brown', 'cute', 'dogs', 'food']
['sign', 'black', 'dark', 'gray', 'sky']
['bear', 'painting', 'displayed', 'showing', 'picture']
['man', 'green', 'air', 'person', 'jumping']
['performing', 'huge', 'sky', 'snow', 'white']
['planes', 'airplanes', 'book', 'flight', 'windows']
['pictures', 'picture', 'man', 'sign', 'ties']
['smart', 'sign', 'says', 'commercial', 'picture']
['sign', 'green', 'sky', 'displaying', 'alongside']
['ear', 'types', 'people', 'bunch', 'sheep']
['woman', 'people', 'standing', 'man', 'couple']
['field', 'grassy', 'kites', 'animals', 'outdoor']
['tennis', 'court', 'racket', 'playing', 'player']
['sign', 'center', 'make', 'mouse', 'ripe']
['pictures', 'showing', 'screen', 'gas', 'sign']
['sign', 'eyes', 'smart', 'blue', 'elephant']
['picture', 'photos', 'man', 'wearing', 'jacket']
['hats', 'woman', 'man', 'wearing', 'dressed']
['computers', 'woman', 'sitting', 'table', 'laptop']
['man', 'wearing', 'wii', 'mirror', 'young']
['smaller', 'road', 'large', 'video', 'player']
['row', 'colors', 'stack', 'filled', 'traffic']
['doll', 'bear', 'stuffed', 'dressed', 'little']
['person', 'shaped', 'someones', 'black', 'blue']
['steam', 'railing', 'building', 'skateboard', 'trick']
['surfboard', 'man', 'sunset', 'field', 'wild']
['teddy', 'bears', 'group', 'antique', 'field']
['man', 'picture', 'glasses', 'bathroom', 'posing']
['vintage', 'eyes', 'floors', 'skating', 'flock']
['tie', 'posing', 'smiling', 'standing', 'wearing']
['mirror', 'wall', 'pastry', 'neck', 'white']
['ripe', 'bathroom', 'cover', 'sign', 'apple']
['man', 'look', 'staring', 'smiling', 'sitting']
['phone', 'cell', 'american', 'standing', 'man']
['smiling', 'camera', 'neck', 'posing', 'standing']
['picture', 'teddy', 'posing', 'pants', 'surfboard']
['bathroom', 'bird', 'beneath', 'showing', 'shorts']
['wall', 'woman', 'floor', 'poses', 'wearing']
['tray', 'prepared', 'table', 'pieces', 'close']
['different', 'purple', 'colors', 'multiple', 'screen']
['bright', 'filled', 'wet', 'lights', 'seen']
['sitting', 'beneath', 'screen', 'background', 'set']
['paper', 'clocks', 'showing', 'throw', 'chairs']
['black', 'picture', 'colorful', 'device', 'multiple']
['book', 'lying', 'paper', 'table', 'cakes']
['picture', 'road', 'cellphone', 'showing', 'traffic']
['hat', 'drinking', 'man', 'green', 'brushing']
['pictures', 'picture', 'showing', 'different', 'photos']
['woman', 'sun', 'standing', 'person', 'man']
['red', 'says', 'metal', 'mounted', 'white']
['sign', 'street', 'pole', 'white', 'parking']
['held', 'holding', 'edge', 'painted', 'hand']
['bathroom', 'commuter', 'picture', 'ripe', 'sky']
['yellow', 'ripe', 'sky', 'bright', 'picture']
['blue', 'decorated', 'cake', 'dark', 'group']
['toys', 'screen', 'dogs', 'baseball', 'men']
['bathroom', 'eyes', 'picture', 'bright', 'bird']
['stuffed', 'picture', 'hair', 'cover', 'police']
['tv', 'television', 'people', 'standing', 'picture']
['bathroom', 'picture', 'eyes', 'carpet', 'gray']
['young', 'sitting', 'girl', 'wearing', 'little']
['white', 'wearing', 'shirt', 'woman', 'young']
['sign', 'building', 'graffiti', 'television', 'business']
['brush', 'sign', 'signs', 'elephants', 'screen']
['pictures', 'picture', 'bright', 'vintage', 'stacked']
['elephants', 'includes', 'closed', 'sign', 'airplane']
['man', 'standing', 'photos', 'playing', 'orange']
['kites', 'bird', 'group', 'picture', 'colorful']
['dress', 'man', 'event', 'men', 'standing']
['dark', 'black', 'picture', 'photo', 'blue']
['white', 'black', 'women', 'woman', 'sitting']
['tooth', 'face', 'man', 'himself', 'reflection']
['pictures', 'black', 'picture', 'grey', 'shown']
['bathroom', 'sign', 'bright', 'gray', 'picture']
['shows', 'snowboarding', 'blue', 'subway', 'yellow']
['man', 'wearing', 'pictures', 'shirt', 'showing']
['kites', 'vintage', 'picture', 'ski', 'ceiling']
['man', 'smiling', 'smiles', 'woman', 'face']
['woman', 'girl', 'posing', 'wearing', 'smiling']
['ripe', 'picture', 'smart', 'bright', 'vintage']
['writing', 'sign', 'says', 'old', 'sitting']
['closeup', 'smart', 'picture', 'screen', 'laptop']
['sign', 'black', 'river', 'old', 'bag']
['showing', 'doing', 'various', 'appliances', 'player']
['flags', 'man', 'standing', 'person', 'background']
['players', 'fun', 'white', 'street', 'baseball']
['sign', 'playing', 'field', 'lush', 'holding']
['potatoes', 'chicken', 'doughnuts', 'close', 'bread']
['bathroom', 'bright', 'picture', 'showing', 'potatoes']
['personal', 'sky', 'snowboarder', 'towel', 'shade']
['car', 'black', 'sitting', 'apple', 'like']
['man', 'tiled', 'tie', 'looking', 'black']
['man', 'smiling', 'face', 'glasses', 'smiles']
['standing', 'box', 'sitting', 'holding', 'white']
['vintage', 'photo', 'picture', 'girls', 'ski']
['group', 'people', 'standing', 'men', 'smile']
['man', 'face', 'american', 'photo', 'screen']
['bird', 'showing', 'screen', 'picture', 'bathroom']
['photos', 'pictures', 'showing', 'picture', 'colors']
['gray', 'black', 'right', 'sign', 'picture']
['white', 'curtain', 'black', 'animal', 'dog']
['pictures', 'showing', 'photos', 'picture', 'people']
['sign', 'scissors', 'paper', 'sheet', 'says']
['truck', 'trash', 'road', 'street', 'blue']
['ripe', 'picture', 'sky', 'commuter', 'scissors']
['frosting', 'green', 'yellow', 'eyes', 'leaves']
['people', 'standing', 'street', 'posing', 'smiling']
['cake', 'plate', 'chocolate', 'slice', 'frosting']
['sign', 'hill', 'says', 'flowers', 'herd']
['tv', 'screen', 'closeup', 'set', 'green']
['kites', 'photo', 'jump', 'red', 'assorted']
['window', 'brushing', 'bat', 'picture', 'hair']
['resting', 'riding', 'birds', 'group', 'flowers']
['writing', 'blue', 'wire', 'night', 'round']
['hair', 'woman', 'bathroom', 'teeth', 'girl']
['green', 'attached', 'white', 'shoes', 'sitting']
['yellow', 'photo', 'bright', 'picture', 'eyes']
['screen', 'bathroom', 'clocks', 'smart', 'picture']
['lights', 'time', 'sitting', 'colorful', 'airplane']
['wedding', 'dress', 'standing', 'red', 'man']
['tennis', 'brick', 'court', 'rock', 'cloudy']
['teddy', 'bear', 'meters', 'stuffed', 'animals']
['tv', 'television', 'screen', 'man', 'game']
['window', 'crowd', 'filled', 'sitting', 'large']
['sign', 'red', 'stop', 'writing', 'painted']
['black', 'eyes', 'pickup', 'cellphone', 'showing']
['train', 'yellow', 'toy', 'blue', 'sitting']
['appliances', 'cellphone', 'mans', 'tv', 'photograph']
['red', 'sitting', 'looking', 'brown', 'image']
['business', 'men', 'posing', 'man', 'suit']
['black', 'bathroom', 'gray', 'scissors', 'dark']
['night', 'boats', 'lights', 'lawn', 'street']
['posing', 'pose', 'standing', 'men', 'group']
['man', 'glasses', 'wearing', 'posing', 'smiling']
['tie', 'man', 'wearing', 'himself', 'jacket']
['woman', 'hair', 'girl', 'black', 'camera']
['bird', 'sitting', 'black', 'attached', 'sign']
['ripe', 'photo', 'picture', 'things', 'commercial']
['shirt', 'man', 'holding', 'wearing', 'grey']
['showing', 'picture', 'sky', 'appliances', 'book']
['tennis', 'outfit', 'electric', 'picture', 'young']
['posing', 'happy', 'man', 'smile', 'standing']
['writing', 'white', 'polar', 'wire', 'color']
['woman', 'posing', 'poses', 'dress', 'holding']
['photos', 'picture', 'skis', 'photo', 'color']
['cats', 'photos', 'color', 'dog', 'pictures']
['black', 'phones', 'play', 'white', 'people']
['keyboard', 'sitting', 'table', 'mouse', 'topped']
['motor', 'office', 'air', 'banana', 'helmet']
['person', 'man', 'holding', 'hand', 'black']
['car', 'parked', 'motorcycle', 'parking', 'silver']
['men', 'standing', 'group', 'photo', 'picture']
['people', 'men', 'horses', 'man', 'standing']
['water', 'sea', 'floating', 'body', 'landing']
['drawn', 'grazing', 'white', 'man', 'covered']
['hair', 'woman', 'lady', 'girl', 'wearing']
['picture', 'elephant', 'make', 'white', 'elephants']
['soccer', 'children', 'players', 'team', 'group']
['posing', 'young', 'wearing', 'hair', 'poses']
['picture', 'suit', 'man', 'photo', 'wearing']
['vintage', 'eyes', 'ripe', 'bathroom', 'alongside']
['tv', 'television', 'screen', 'dark', 'image']
['picture', 'screen', 'showing', 'ripe', 'bathroom']
['swinging', 'pictures', 'picture', 'screen', 'trunk']
['sun', 'highway', 'view', 'road', 'person']
['woman', 'standing', 'holding', 'beautiful', 'girl']
['bicycle', 'bike', 'rider', 'parked', 'meter']
['beneath', 'woman', 'phone', 'picture', 'black']
['girl', 'little', 'young', 'small', 'posing']
['walkway', 'going', 'station', 'standing', 'man']
['bathroom', 'picture', 'kites', 'girls', 'mans']
['woman', 'girl', 'beach', 'black', 'young']
['mother', 'vintage', 'stuffed', 'pictures', 'picture']
['flower', 'personal', 'kite', 'items', 'group']
['holding', 'standing', 'adults', 'picture', 'man']
['man', 'face', 'head', 'wearing', 'eating']
['device', 'sitting', 'cake', 'different', 'table']
['business', 'face', 'woman', 'dark', 'close']
['woman', 'girl', 'brushing', 'black', 'pretty']
['chocolate', 'sign', 'appliances', 'boxes', 'sitting']
['sitting', 'sandwiches', 'men', 'ties', 'phones']
['tie', 'white', 'wearing', 'red', 'toothbrush']
['sign', 'man', 'old', 'older', 'hitting']
['man', 'sign', 'black', 'wearing', 'people']
['people', 'group', 'standing', 'boards', 'men']
['water', 'horses', 'river', 'mountains', 'middle']
['water', 'bridge', 'flying', 'sky', 'beach']
['carpet', 'gray', 'bird', 'vintage', 'bathroom']
['sky', 'blue', 'court', 'night', 'airplane']
['engine', 'park', 'road', 'tree', 'holding']
['woman', 'posing', 'girl', 'teeth', 'holding']
['painted', 'cup', 'coffee', 'white', 'green']
['woman', 'wedding', 'poses', 'photo', 'photograph']
['group', 'men', 'soccer', 'standing', 'blue']
['tracks', 'green', 'wooded', 'wood', 'background']
['posing', 'group', 'standing', 'pose', 'poses']
['photos', 'picture', 'showing', 'smiling', 'pictures']
['man', 'standing', 'wearing', 'red', 'pants']
['boarder', 'sign', 'pillows', 'baseball', 'black']
['himself', 'holding', 'man', 'pointing', 'hands']
['holding', 'woman', 'donut', 'picture', 'cell']
['american', 'striped', 'flag', 'lamp', 'walls']
['pastries', 'different', 'lays', 'placed', 'pastry']
['photos', 'surfboards', 'skis', 'various', 'ties']
['city', 'lights', 'night', 'man', 'building']
['pasta', 'sea', 'picture', 'fish', 'different']
['man', 'suit', 'tie', 'wearing', 'poses']
['laying', 'man', 'bed', 'laptop', 'sitting']
['glasses', 'sunglasses', 'wearing', 'man', 'taking']
['cat', 'laying', 'black', 'pillow', 'sitting']
['group', 'team', 'red', 'people', 'line']
['smart', 'sign', 'screen', 'blue', 'eyes']
['black', 'white', 'skis', 'green', 'sitting']
['bench', 'water', 'surfer', 'beach', 'ocean']
['scissors', 'black', 'sign', 'red', 'dark']
['people', 'train', 'group', 'sitting', 'man']
['woman', 'people', 'standing', 'holding', 'hand']
['television', 'screen', 'road', 'sitting', 'tv']
['ball', 'tennis', 'player', 'people', 'man']
['snowboarder', 'man', 'person', 'sitting', 'player']
['woman', 'red', 'dress', 'walking', 'wall']
['stacked', 'swing', 'tiled', 'inside', 'blue']
['woman', 'young', 'bed', 'white', 'girl']
['ear', 'man', 'young', 'car', 'cellphone']
['crowd', 'people', 'airport', 'large', 'group']
['wearing', 'man', 'hat', 'carrots', 'phone']
['clocks', 'screen', 'bathroom', 'showing', 'bright']
['sign', 'tarmac', 'hillside', 'black', 'gray']
['container', 'refrigerator', 'carrot', 'counter', 'food']
['woman', 'dress', 'posing', 'poses', 'cut']
['bicycle', 'bike', 'brick', 'wall', 'building']
['flag', 'american', 'colorful', 'colored', 'blue']
['sign', 'photograph', 'picture', 'beach', 'swings']
['picture', 'dark', 'bright', 'eyes', 'bathroom']
['writing', 'sign', 'nose', 'picture', 'stop']
['blanket', 'white', 'tie', 'electric', 'shirt']
['face', 'man', 'camera', 'tie', 'wearing']
['deep', 'skiers', 'photograph', 'eyes', 'airplane']
['motor', 'stuffed', 'picture', 'bear', 'pictures']
['man', 'player', 'black', 'wearing', 'racket']
['phone', 'screen', 'monitor', 'sign', 'signs']
['sunset', 'setting', 'green', 'grassy', 'river']
['man', 'wearing', 'head', 'phone', 'person']
['sign', 'slope', 'look', 'traffic', 'says']
['scissors', 'ripe', 'vintage', 'picture', 'traffic']
['player', 'baseball', 'bat', 'hit', 'swing']
['trunk', 'sky', 'tea', 'bright', 'yellow']
['stuff', 'decorated', 'sitting', 'zebra', 'drawn']
['scissors', 'sign', 'dark', 'black', 'picture']
['man', 'wearing', 'old', 'glasses', 'purple']
['man', 'ear', 'eyes', 'picture', 'scissors']
['man', 'blue', 'shirt', 'dark', 'posing']
['smart', 'blue', 'sink', 'screen', 'resting']
['stacked', 'bush', 'eyes', 'pillows', 'shorts']
['blue', 'purple', 'team', 'uniforms', 'group']
['park', 'people', 'standing', 'man', 'group']
['white', 'sky', 'kites', 'old', 'skier']
['photos', 'man', 'standing', 'woman', 'picture']
['people', 'standing', 'pictures', 'picture', 'group']
['pants', 'man', 'wall', 'wearing', 'tie']
['hair', 'woman', 'young', 'long', 'cell']
['covered', 'piece', 'sitting', 'cheese', 'displayed']
['clocks', 'showing', 'hydrant', 'bird', 'banana']
['pitcher', 'people', 'showing', 'screen', 'dress']
['bathroom', 'bright', 'picture', 'pictures', 'photo']
['sign', 'signs', 'branch', 'cover', 'bush']
['shirt', 'man', 'dark', 'wearing', 'looking']
['scissors', 'picture', 'blue', 'sign', 'photo']
['boy', 'holding', 'man', 'standing', 'phones']
['man', 'posing', 'standing', 'holding', 'boy']
['man', 'holding', 'jacket', 'head', 'face']
['train', 'man', 'people', 'black', 'group']
['group', 'standing', 'posing', 'men', 'pair']
['group', 'people', 'screen', 'picture', 'showing']
['truck', 'parked', 'desert', 'vehicle', 'white']
['railing', 'bear', 'car', 'teddy', 'brown']
['woman', 'holding', 'young', 'sitting', 'standing']
['fly', 'sky', 'flying', 'birds', 'flock']
['woman', 'wine', 'drinking', 'glasses', 'women']
['turned', 'black', 'sky', 'photograph', 'image']
['woman', 'electronic', 'holding', 'sitting', 'girl']
['bear', 'stuffed', 'teddy', 'black', 'blanket']
['picture', 'posing', 'sandwich', 'wedding', 'photo']
['eyes', 'black', 'sign', 'gray', 'someones']
['sheet', 'fancy', 'scissors', 'picture', 'photo']
['woods', 'curtain', 'dark', 'jumping', 'window']
['woman', 'girl', 'pretty', 'smile', 'beautiful']
['sign', 'showing', 'red', 'photo', 'night']
['woman', 'posing', 'holding', 'women', 'ladies']
['row', 'red', 'group', 'ties', 'sign']
['man', 'lights', 'phone', 'cell', 'face']
['sunglasses', 'picture', 'man', 'wearing', 'snowboard']
['man', 'smiling', 'photos', 'american', 'picture']
['posing', 'men', 'standing', 'ski', 'group']
['eyes', 'scissors', 'red', 'bathroom', 'clothes']
['photo', 'sitting', 'umbrella', 'white', 'man']
['stack', 'man', 'woman', 'holding', 'hair']
['ripe', 'yellow', 'bright', 'banana', 'eyes']
['blue', 'floor', 'bathroom', 'black', 'sitting']
['crowd', 'large', 'people', 'room', 'clock']
['ripe', 'eyes', 'picture', 'scissors', 'photo']
['doughnuts', 'box', 'donuts', 'desert', 'table']
['city', 'water', 'beach', 'boats', 'near']
['picture', 'book', 'animals', 'building', 'large']
['woman', 'glasses', 'wearing', 'pretty', 'dark']
['sign', 'man', 'sitting', 'reads', 'posing']
['pieces', 'high', 'train', 'different', 'wet']
['writing', 'sign', 'picture', 'highway', 'crossing']
['picture', 'image', 'showing', 'sign', 'people']
['blue', 'costume', 'purple', 'holding', 'standing']
['commercial', 'sky', 'yellow', 'white', 'pole']
['hair', 'woman', 'brushing', 'girl', 'beautiful']
['red', 'book', 'make', 'cover', 'parking']
['hair', 'woman', 'posing', 'holding', 'tie']
['cat', 'grey', 'gray', 'staring', 'white']
['blue', 'road', 'baseball', 'sitting', 'cake']
['baseball', 'player', 'red', 'wearing', 'ball']
['sign', 'highway', 'train', 'cars', 'directions']
['man', 'tie', 'wearing', 'shirt', 'sitting']
['man', 'use', 'showing', 'posing', 'picture']
['pose', 'standing', 'holding', 'group', 'posing']
['man', 'white', 'photo', 'black', 'looking']
['tracks', 'night', 'sunset', 'green', 'near']
['ripe', 'airplanes', 'picture', 'phone', 'snowy']
['snowy', 'snow', 'winter', 'small', 'river']
['woman', 'hair', 'man', 'space', 'dark']
['picture', 'black', 'ripe', 'showing', 'sign']
['sitting', 'underneath', 'tie', 'white', 'brick']
['bathroom', 'picture', 'gray', 'sign', 'black']
['closeup', 'person', 'someones', 'hand', 'persons']
['lies', 'laying', 'sidewalk', 'hydrant', 'near']
['man', 'sitting', 'person', 'picture', 'large']
['book', 'beach', 'birds', 'flying', 'showing']
['black', 'dark', 'sitting', 'mirror', 'white']
['flock', 'bush', 'event', 'picture', 'sitting']
['man', 'air', 'player', 'trick', 'tennis']
['photos', 'snowy', 'picture', 'commuter', 'items']
['man', 'skateboard', 'doing', 'sign', 'trailer']
['bear', 'appliances', 'banana', 'hot', 'ripe']
['crowd', 'group', 'parade', 'hats', 'baseball']
['red', 'man', 'player', 'field', 'baseball']
['machine', 'standing', 'sitting', 'showing', 'holding']
['smiling', 'doughnut', 'wearing', 'young', 'head']
['eyes', 'commuter', 'bathroom', 'potatoes', 'bright']
['blurry', 'red', 'snowboard', 'flying', 'flag']
['man', 'posing', 'head', 'older', 'old']
['glasses', 'wearing', 'woman', 'smiling', 'jacket']
['man', 'french', 'cover', 'ripe', 'showing']
['trash', 'enjoying', 'waves', 'picture', 'action']
['young', 'rock', 'woman', 'hair', 'holding']
['skate', 'black', 'sitting', 'case', 'grey']
['bears', 'teddy', 'animals', 'painting', 'bunch']
['bright', 'ball', 'dark', 'light', 'snowy']
['screen', 'blue', 'smart', 'bird', 'picture']
['people', 'crowded', 'tennis', 'man', 'holding']
['car', 'van', 'sitting', 'flowers', 'lots']
['picture', 'showing', 'birds', 'ripe', 'overhead']
['business', 'suit', 'man', 'men', 'suits']
['showing', 'picture', 'gray', 'bright', 'bathroom']
['picture', 'vintage', 'photo', 'air', 'white']
['smart', 'screen', 'cover', 'box', 'blue']
['river', 'picture', 'water', 'net', 'bush']
['flowers', 'table', 'flower', 'white', 'topped']
['happy', 'people', 'display', 'lined', 'bunch']
['beer', 'cups', 'cup', 'cat', 'pictures']
['bathroom', 'commercial', 'cellphone', 'cover', 'snowy']
['sign', 'photo', 'baseball', 'picture', 'fancy']
['man', 'blurry', 'face', 'wearing', 'staring']
['showing', 'sign', 'bright', 'water', 'high']
['smiling', 'pastry', 'wearing', 'controller', 'posing']
['window', 'man', 'business', 'table', 'seated']
['posing', 'smiling', 'pose', 'picture', 'hats']
['wrapped', 'man', 'shirt', 'wearing', 'white']
['man', 'tie', 'smiling', 'wearing', 'smile']
['picture', 'man', 'wearing', 'black', 'white']
['zebra', 'painting', 'old', 'group', 'photo']
['says', 'sign', 'posing', 'colorful', 'vehicles']
['display', 'doughnuts', 'sitting', 'covered', 'floor']
['blue', 'surfboard', 'swings', 'lying', 'picture']
['trees', 'leaves', 'middle', 'dry', 'colors']
['standing', 'street', 'woman', 'posing', 'holding']
['woman', 'girl', 'cell', 'phone', 'standing']
['runway', 'military', 'fighter', 'plane', 'airplane']
['woman', 'picture', 'young', 'man', 'black']
['motorcycle', 'sitting', 'people', 'parked', 'standing']
['people', 'sitting', 'man', 'room', 'woman']
['yellow', 'motorcycles', 'motorcycle', 'police', 'parked']
['dog', 'brown', 'dirt', 'dogs', 'tied']
['bowl', 'model', 'bow', 'cheese', 'rice']
['picture', 'keyboard', 'smart', 'phone', 'white']
['blue', 'bright', 'closed', 'closeup', 'road']
['hair', 'woman', 'pretty', 'girl', 'beautiful']
['woman', 'young', 'baseball', 'laying', 'girl']
['stack', 'school', 'steps', 'bunch', 'hanging']
['truck', 'standing', 'bunch', 'lined', 'large']
['scissors', 'showing', 'picture', 'bright', 'sky']
['posing', 'holding', 'wine', 'man', 'people']
['woman', 'girl', 'pretty', 'face', 'beautiful']
['sign', 'scissors', 'new', 'black', 'shorts']
['woman', 'wearing', 'toothbrush', 'staring', 'pretty']
['snowy', 'zebras', 'tree', 'stacked', 'commercial']
['ripe', 'sign', 'bathroom', 'book', 'green']
['train', 'sitting', 'yellow', 'railroad', 'outside']
['man', 'wearing', 'frisbee', 'water', 'shirt']
['photos', 'pictures', 'picture', 'showing', 'smart']
['posing', 'standing', 'group', 'steps', 'men']
['flying', 'blue', 'sky', 'image', 'picture']
['commuter', 'showing', 'surfboard', 'bright', 'picture']
['blue', 'landing', 'bear', 'sky', 'use']
['toilets', 'meters', 'blue', 'little', 'pair']
['crowd', 'baseball', 'people', 'showing', 'large']
['standing', 'men', 'people', 'man', 'holding']
['young', 'brushing', 'hair', 'shirt', 'wearing']
['sign', 'man', 'player', 'black', 'yellow']
['sitting', 'group', 'room', 'crowd', 'people']
['green', 'blue', 'sitting', 'table', 'cup']
['man', 'wearing', 'holding', 'cell', 'photograph']
['baseball', 'player', 'man', 'wearing', 'holding']
['green', 'table', 'sitting', 'chocolate', 'doughnuts']
['man', 'wearing', 'riding', 'glasses', 'person']
['player', 'holding', 'standing', 'dark', 'woman']
['wine', 'meter', 'glass', 'red', 'table']
['sitting', 'table', 'throwing', 'white', 'donuts']
['posing', 'group', 'controllers', 'standing', 'women']
['woman', 'man', 'sitting', 'person', 'holding']
['trees', 'filled', 'middle', 'road', 'lights']
['eyes', 'commuter', 'bathroom', 'alongside', 'blue']
['holding', 'cell', 'bat', 'hit', 'phone']
['group', 'people', 'ties', 'men', 'posing']
['giraffes', 'standing', 'group', 'black', 'vase']
['sitting', 'car', 'food', 'people', 'large']
['picture', 'sign', 'animals', 'animal', 'sitting']
['baseball', 'player', 'wearing', 'man', 'picture']
['family', 'stuffed', 'does', 'picture', 'chairs']
['bathroom', 'shorts', 'vegetable', 'office', 'eyes']
['white', 'vintage', 'picture', 'cross', 'photo']
['lawn', 'land', 'chairs', 'flying', 'white']
['man', 'blue', 'holding', 'swinging', 'throw']
['tables', 'room', 'group', 'people', 'display']
['cover', 'bathroom', 'picture', 'snowy', 'vintage']
['tea', 'spoon', 'white', 'sitting', 'tray']
['pictures', 'women', 'posing', 'ladies', 'girls']
['picture', 'mans', 'toothbrush', 'wearing', 'white']
['man', 'tie', 'holding', 'purple', 'shirt']
['picture', 'gray', 'paper', 'turn', 'bathroom']
['water', 'river', 'group', 'standing', 'low']
['group', 'people', 'crowd', 'posing', 'standing']
['black', 'posing', 'snowy', 'woman', 'snow']
['water', 'photo', 'people', 'man', 'group']
['dark', 'black', 'eyes', 'picture', 'photograph']
['looking', 'woman', 'man', 'young', 'dark']
['pictures', 'photos', 'picture', 'photo', 'showing']
['wearing', 'hat', 'helmet', 'head', 'cute']
['overhead', 'blue', 'sign', 'clean', 'white']
['running', 'skateboard', 'man', 'person', 'young']
['man', 'wearing', 'picture', 'shirt', 'looking']
['uniforms', 'flag', 'team', 'pictures', 'male']
