['water', 'waters', 'dark', 'large', 'background']
['refrigerator', 'book', 'old', 'sitting', 'microwave']
['green', 'pictures', 'racket', 'blue', 'sitting']
['picture', 'yellow', 'photo', 'smart', 'man']
['pink', 'book', 'sign', 'single', 'inside']
['blue', 'stacked', 'showing', 'photograph', 'image']
['book', 'writing', 'reading', 'object', 'lays']
['yellow', 'board', 'picture', 'flower', 'features']
['teeth', 'baseball', 'bedroom', 'large', 'inside']
['room', 'living', 'furniture', 'cluttered', 'sitting']
['picture', 'black', 'bright', 'dark', 'photo']
['sign', 'says', 'grey', 'water', 'fenced']
['woman', 'toothbrush', 'dark', 'hair', 'smiling']
['scissors', 'roll', 'commercial', 'bright', 'blue']
['picture', 'posing', 'camera', 'showing', 'young']
['pictures', 'picture', 'photograph', 'color', 'cover']
['meter', 'old', 'reads', 'sign', 'cups']
['screen', 'showing', 'surfing', 'mouse', 'smart']
['eyes', 'purple', 'blue', 'bright', 'bathroom']
['alongside', 'picture', 'black', 'sign', 'boarder']
['monitors', 'tv', 'sign', 'buildings', 'building']
['bird', 'screen', 'swimming', 'nose', 'traveling']
['umbrellas', 'red', 'blue', 'displayed', 'colored']
['keyboard', 'sitting', 'table', 'mouse', 'topped']
['brushing', 'black', 'cellphone', 'picture', 'posing']
['remote', 'night', 'runway', 'sailing', 'pillows']
['eyes', 'sign', 'commuter', 'airplane', 'silver']
['vegetables', 'bowl', 'white', 'sitting', 'red']
['blue', 'deep', 'ball', 'stacked', 'bright']
['screen', 'television', 'showing', 'keyboard', 'center']
['showing', 'snowy', 'broccoli', 'eyes', 'background']
['sky', 'palm', 'flower', 'air', 'photo']
['planes', 'city', 'near', 'large', 'sitting']
['man', 'pie', 'shows', 'large', 'person']
['birds', 'elephants', 'perched', 'picture', 'smart']
['toothbrush', 'rain', 'long', 'train', 'road']
['showing', 'bathroom', 'picture', 'clocks', 'bright']
['sign', 'dark', 'signs', 'control', 'sky']
['cows', 'lines', 'mound', 'sky', 'beneath']
['sunglasses', 'glasses', 'picture', 'wearing', 'doorway']
['laptop', 'sitting', 'table', 'open', 'keyboard']
['sign', 'picture', 'photos', 'showing', 'photo']
['beach', 'skateboarding', 'sand', 'road', 'board']
['bathroom', 'picture', 'screen', 'showing', 'harbor']
['dark', 'woods', 'buildings', 'green', 'showing']
['cat', 'eyes', 'cats', 'happy', 'grey']
['picture', 'showing', 'sitting', 'bear', 'kitten']
['clouds', 'old', 'pieces', 'book', 'sky']
['keyboard', 'sitting', 'black', 'sits', 'flies']
['waters', 'lying', 'sitting', 'water', 'buses']
['carrot', 'post', 'couple', 'items', 'picture']
['bathroom', 'donut', 'lays', 'showing', 'trash']
['man', 'doorway', 'wearing', 'mound', 'background']
['flying', 'night', 'dark', 'bathroom', 'playing']
['screen', 'sunset', 'showing', 'seen', 'tv']
['man', 'working', 'reading', 'men', 'pictures']
['engine', 'food', 'overhead', 'showing', 'race']
['sheet', 'birds', 'water', 'ski', 'snowboarding']
['sky', 'items', 'road', 'bright', 'picture']
['showing', 'picture', 'resting', 'people', 'shot']
['stacked', 'clocks', 'sitting', 'group', 'filled']
['man', 'suit', 'wearing', 'picture', 'posing']
['green', 'nice', 'shirt', 'man', 'displayed']
['drink', 'orange', 'baseball', 'red', 'box']
['shirt', 'arms', 'standing', 'man', 'clean']
['showing', 'standing', 'picture', 'man', 'photograph']
['people', 'group', 'men', 'sitting', 'man']
['posing', 'picture', 'photo', 'men', 'man']
['sign', 'jumps', 'eyes', 'boarder', 'bright']
['bathroom', 'eyes', 'picture', 'bird', 'bright']
['woman', 'controller', 'case', 'man', 'wii']
['bathroom', 'commuter', 'clocks', 'picture', 'eyes']
['standing', 'people', 'suit', 'holding', 'sitting']
['drink', 'coffee', 'soda', 'cup', 'sitting']
['sign', 'doughnuts', 'red', 'window', 'closed']
['man', 'wearing', 'holding', 'cell', 'photograph']
['picture', 'sign', 'model', 'like', 'beneath']
['small', 'field', 'covered', 'bushes', 'grass']
['sign', 'eyes', 'clock', 'baseball', 'black']
['man', 'television', 'screen', 'tv', 'baseball']
['car', 'street', 'stop', 'seen', 'busy']
['water', 'bird', 'book', 'showing', 'harbor']
['man', 'wearing', 'head', 'face', 'hat']
['showing', 'sign', 'overhead', 'screen', 'chairs']
['stone', 'chips', 'walkway', 'brick', 'pavement']
['blue', 'counter', 'bottle', 'sitting', 'close']
['man', 'face', 'camera', 'looking', 'head']
['pictures', 'picture', 'ship', 'different', 'vehicle']
['large', 'display', 'stand', 'giant', 'high']
['park', 'bench', 'water', 'area', 'outside']
['beneath', 'bathroom', 'bird', 'showing', 'banana']
['tower', 'sign', 'river', 'green', 'showing']
['man', 'photo', 'picture', 'standing', 'black']
['picture', 'perched', 'paper', 'showing', 'bathroom']
['bear', 'statue', 'signs', 'stuffed', 'clock']
['wall', 'woman', 'floor', 'poses', 'wearing']
['ripe', 'scissors', 'picture', 'commuter', 'gray']
['trees', 'forest', 'snow', 'field', 'snowy']
['sign', 'outside', 'soda', 'box', 'store']
['birds', 'hydrant', 'lies', 'sitting', 'docked']
['colored', 'screen', 'colorful', 'green', 'road']
['car', 'meter', 'parked', 'sitting', 'parking']
['sea', 'picture', 'animals', 'like', 'different']
['dark', 'black', 'sign', 'scissors', 'picture']
['men', 'suits', 'suit', 'people', 'event']
['man', 'picture', 'camera', 'sign', 'wearing']
['sky', 'commuter', 'picture', 'scissors', 'gray']
['black', 'man', 'smiling', 'sitting', 'playing']
['snowboarder', 'man', 'sunglasses', 'wearing', 'player']
['woman', 'smiling', 'picture', 'talking', 'girls']
['face', 'hair', 'head', 'picture', 'background']
['picture', 'flying', 'colorful', 'sky', 'shot']
['dog', 'sitting', 'white', 'blanket', 'bed']
['board', 'surfboard', 'picture', 'poles', 'lake']
['bathroom', 'bird', 'picture', 'showing', 'bright']
['white', 'photo', 'sky', 'blue', 'street']
['eyes', 'dog', 'brown', 'someones', 'close']
['vintage', 'pictures', 'drawn', 'picture', 'various']
['plate', 'white', 'sitting', 'piece', 'food']
['scissors', 'eyes', 'alongside', 'dark', 'bright']
['bathroom', 'ripe', 'picture', 'showing', 'tan']
['men', 'ties', 'smile', 'posing', 'suits']
['coffee', 'cup', 'stopped', 'red', 'white']
['girl', 'posing', 'woman', 'lady', 'hair']
['purple', 'dark', 'screen', 'showing', 'set']
['kites', 'sky', 'trees', 'seen', 'snow']
['ripe', 'yellow', 'flying', 'sky', 'picture']
['shelves', 'clock', 'electronic', 'large', 'set']
['woman', 'hair', 'girl', 'bathroom', 'controller']
['closed', 'sign', 'airplane', 'bathroom', 'board']
['sign', 'bicycle', 'tan', 'player', 'turn']
['bathroom', 'picture', 'smart', 'screen', 'things']
['street', 'blue', 'parked', 'signs', 'white']
['wearing', 'man', 'trees', 'posing', 'tree']
['people', 'group', 'sitting', 'chairs', 'standing']
['stacked', 'ties', 'filled', 'signs', 'blue']
['sky', 'screen', 'air', 'shot', 'close']
['dark', 'flying', 'screen', 'decorated', 'blue']
['posing', 'women', 'picture', 'photo', 'showing']
['green', 'blue', 'sitting', 'table', 'cup']
['man', 'shirt', 'holding', 'hand', 'black']
['bathroom', 'picture', 'gray', 'eyes', 'bird']
['orange', 'screen', 'stacked', 'signs', 'buildings']
['person', 'persons', 'man', 'pillows', 'hand']
['screen', 'showing', 'appliances', 'green', 'sink']
['signs', 'sign', 'building', 'bunch', 'restaurant']
['fruit', 'plate', 'decorative', 'slices', 'arranged']
['dark', 'black', 'gray', 'hillside', 'sign']
['television', 'tv', 'controller', 'man', 'sitting']
['sign', 'posing', 'people', 'picture', 'smiling']
['man', 'smiling', 'picture', 'black', 'hair']
['crowd', 'people', 'airport', 'large', 'group']
['pictures', 'photos', 'picture', 'photo', 'sitting']
['red', 'black', 'books', 'clock', 'sign']
['dark', 'black', 'picture', 'photo', 'clocks']
['hitting', 'court', 'ball', 'park', 'game']
['red', 'ski', 'snowboarder', 'snowboard', 'snowboarding']
['holding', 'standing', 'wearing', 'sign', 'smiling']
['american', 'man', 'posing', 'picture', 'wearing']
['brick', 'sidewalk', 'black', 'stone', 'sign']
['bathroom', 'eyes', 'picture', 'bright', 'landing']
['dark', 'black', 'sign', 'photograph', 'phone']
['picture', 'bird', 'showing', 'bathroom', 'photo']
['man', 'young', 'room', 'standing', 'ramp']
['man', 'picture', 'showing', 'bathroom', 'glasses']
['bright', 'picture', 'sky', 'perched', 'screen']
['view', 'red', 'trucks', 'black', 'sitting']
['mug', 'cup', 'coffee', 'pasture', 'jumps']
['plane', 'sky', 'sign', 'black', 'swings']
['pipe', 'man', 'person', 'action', 'dark']
['stuffed', 'hair', 'head', 'phone', 'clock']
['appliances', 'showing', 'potatoes', 'picture', 'pictures']
['baseball', 'holding', 'standing', 'helmet', 'uniform']
['green', 'apple', 'just', 'screen', 'dark']
['foot', 'blue', 'ground', 'sitting', 'bags']
['man', 'snowboarding', 'pitcher', 'games', 'bathroom']
['shelves', 'boxes', 'signs', 'old', 'wood']
['control', 'ripe', 'multi', 'colored', 'sign']
['showing', 'picture', 'screen', 'clocks', 'bathroom']
['living', 'train', 'couch', 'laying', 'sitting']
['train', 'doorway', 'door', 'inside', 'standing']
['picture', 'showing', 'screen', 'resting', 'laptop']
['painting', 'displayed', 'different', 'bird', 'picture']
['commercial', 'red', 'sky', 'picture', 'flying']
['tie', 'man', 'wearing', 'suit', 'looking']
['television', 'tv', 'sign', 'screen', 'monitor']
['sky', 'picture', 'showing', 'blue', 'smart']
['sign', 'closeup', 'writing', 'rocks', 'business']
['phone', 'cell', 'cellphone', 'talking', 'donut']
['tarmac', 'green', 'dark', 'showing', 'plant']
['face', 'man', 'talking', 'takes', 'teeth']
['sign', 'persons', 'holding', 'small', 'cell']
['sign', 'smart', 'picture', 'stacked', 'phone']
['bird', 'photograph', 'pointing', 'gray', 'elephants']
['smiling', 'picture', 'face', 'photo', 'bat']
['posing', 'man', 'picture', 'sitting', 'men']
['television', 'wearing', 'white', 'building', 'standing']
['food', 'image', 'screen', 'showing', 'sitting']
['frosting', 'bear', 'decorated', 'picture', 'spoon']
['wrapped', 'cloth', 'sitting', 'rests', 'old']
['hand', 'palm', 'person', 'holding', 'sign']
['screen', 'perched', 'showing', 'flying', 'picture']
['pots', 'black', 'plant', 'boarder', 'eyes']
['chairs', 'sitting', 'room', 'chair', 'kind']
['cakes', 'photos', 'race', 'bikes', 'stacked']
['red', 'sitting', 'dirty', 'man', 'sits']
['sitting', 'outside', 'luggage', 'items', 'picture']
['closeup', 'picture', 'pie', 'various', 'fun']
['smart', 'screen', 'colors', 'pitch', 'blue']
['photos', 'dinner', 'picture', 'old', 'pictures']
['man', 'holding', 'standing', 'skateboard', 'pose']
['man', 'tie', 'wearing', 'shirt', 'sitting']
['people', 'group', 'commuter', 'takes', 'standing']
['ripe', 'sign', 'bright', 'yellow', 'picture']
['cup', 'mug', 'coffee', 'reading', 'holding']
['sunglasses', 'man', 'glasses', 'holding', 'woman']
['bathroom', 'commercial', 'cellphone', 'cover', 'snowy']
['table', 'green', 'food', 'soup', 'person']
['cabinet', 'room', 'shelf', 'sitting', 'small']
['scissors', 'picture', 'photo', 'showing', 'sky']
['photo', 'hair', 'woman', 'man', 'talking']
['people', 'walking', 'child', 'standing', 'men']
['screen', 'airport', 'multiple', 'lights', 'desk']
['ties', 'wedding', 'man', 'couple', 'standing']
['bridge', 'wall', 'near', 'building', 'train']
['traveling', 'commuter', 'city', 'bridge', 'picture']
['posing', 'man', 'cover', 'smiling', 'sign']
['black', 'sign', 'dark', 'town', 'picture']
['gray', 'picture', 'sky', 'eyes', 'black']
['commercial', 'gray', 'eyes', 'elephants', 'sunset']
['boy', 'pictures', 'standing', 'photograph', 'professional']
['eyes', 'photograph', 'blue', 'pickup', 'pillow']
['blue', 'bag', 'pair', 'box', 'sitting']
['photos', 'cabinet', 'shows', 'filled', 'pictures']
['pictures', 'vintage', 'features', 'shaped', 'mother']
['standing', 'view', 'sheets', 'picture', 'taken']
['branch', 'colored', 'ocean', 'sky', 'group']
['ear', 'picture', 'black', 'happy', 'photo']
['screen', 'close', 'window', 'picture', 'showing']
['scissors', 'pair', 'white', 'table', 'birds']
['hole', 'surfer', 'device', 'white', 'bushes']
['gray', 'black', 'bathroom', 'eyes', 'baseball']
['bow', 'wearing', 'man', 'purple', 'tie']
['hand', 'holding', 'person', 'yellow', 'sitting']
['car', 'parking', 'parked', 'red', 'sale']
['ripe', 'picture', 'sky', 'showing', 'colors']
['bathroom', 'eyes', 'ripe', 'alongside', 'includes']
['large', 'sky', 'photo', 'corner', 'water']
['screen', 'closeup', 'showing', 'picture', 'laptop']
['purple', 'building', 'store', 'filled', 'night']
['face', 'picture', 'posing', 'happy', 'showing']
['glasses', 'sunglasses', 'wearing', 'man', 'taking']
['keyboard', 'person', 'laptop', 'table', 'man']
['plate', 'broccoli', 'rice', 'white', 'sitting']
['people', 'standing', 'display', 'store', 'man']
['stuffed', 'hats', 'doll', 'screen', 'sheets']
['standing', 'swings', 'soccer', 'bird', 'child']
['window', 'light', 'room', 'building', 'bed']
['snowboarding', 'trick', 'skateboarder', 'ramp', 'skate']
['pictures', 'picture', 'showing', 'various', 'photos']
['blue', 'airplane', 'showing', 'tower', 'bush']
['teddy', 'bear', 'opened', 'bears', 'cover']
['television', 'tv', 'screen', 'woman', 'posing']
['dark', 'eyes', 'black', 'sign', 'white']
['sign', 'street', 'pole', 'road', 'attached']
['sitting', 'white', 'wall', 'room', 'laying']
['man', 'surfer', 'poses', 'picture', 'himself']
['plate', 'knife', 'food', 'meat', 'sauce']
['hair', 'girl', 'long', 'brushing', 'woman']
['tie', 'man', 'hair', 'smile', 'shirt']
['people', 'walking', 'street', 'woman', 'group']
['sitting', 'field', 'ground', 'standing', 'people']
['book', 'red', 'black', 'shirt', 'wearing']
['dog', 'small', 'bathroom', 'black', 'keyboard']
['donuts', 'pan', 'doughnuts', 'metal', 'display']
['sign', 'meal', 'clock', 'picture', 'high']
['man', 'glasses', 'drinking', 'sunglasses', 'mouth']
['night', 'old', 'buildings', 'room', 'cars']
['kites', 'pictures', 'photos', 'colors', 'colorful']
['silver', 'close', 'metal', 'pen', 'small']
['sitting', 'television', 'tv', 'stands', 'cats']
['bathroom', 'eyes', 'picture', 'commuter', 'bright']
['ski', 'snow', 'phone', 'bags', 'snowboard']
['tennis', 'screen', 'racket', 'flying', 'air']
['woman', 'brushing', 'girl', 'hair', 'face']
['scissors', 'sign', 'ripe', 'sky', 'commuter']
['picture', 'photo', 'black', 'photograph', 'white']
['bathroom', 'green', 'flower', 'signal', 'showing']
['green', 'blue', 'sitting', 'table', 'cup']
['birds', 'skies', 'picture', 'various', 'lays']
['blue', 'sign', 'dark', 'green', 'use']
['room', 'people', 'group', 'sitting', 'watch']
['cars', 'vehicles', 'traffic', 'street', 'parked']
['dark', 'traffic', 'ear', 'picture', 'clock']
['man', 'pictures', 'takes', 'men', 'older']
['television', 'tv', 'game', 'baseball', 'dark']
['cage', 'cart', 'metal', 'sitting', 'water']
['ties', 'case', 'red', 'snowboard', 'sitting']
['dog', 'gear', 'man', 'walking', 'people']
['pictures', 'scissors', 'picture', 'photos', 'different']
['flight', 'bird', 'photograph', 'things', 'fancy']
['bananas', 'man', 'sitting', 'couple', 'street']
['hat', 'wearing', 'head', 'glasses', 'woman']
['fence', 'leaves', 'sitting', 'area', 'near']
['picture', 'showing', 'man', 'wearing', 'bright']
['ceiling', 'train', 'filled', 'hanging', 'group']
['smart', 'scissors', 'picture', 'bathroom', 'sign']
['ripe', 'bathroom', 'vintage', 'picture', 'smart']
['keyboard', 'desk', 'sitting', 'phone', 'eyes']
['pizza', 'table', 'sitting', 'pan', 'sits']
['tie', 'doughnut', 'green', 'young', 'hat']
['kite', 'fly', 'sky', 'photo', 'man']
['photos', 'pictures', 'picture', 'photo', 'showing']
['man', 'baseball', 'sitting', 'drinking', 'blue']
['white', 'striped', 'sitting', 'close', 'birds']
['woman', 'girl', 'blue', 'pink', 'shirt']
['sunglasses', 'like', 'face', 'yellow', 'plain']
['screen', 'television', 'sign', 'tv', 'building']
['woman', 'sign', 'picture', 'cellphone', 'showing']
['bathroom', 'picture', 'snowy', 'eyes', 'phone']
['man', 'photograph', 'picture', 'brick', 'neck']
['woman', 'couch', 'girl', 'chair', 'shirt']
['night', 'cars', 'traffic', 'car', 'lights']
['landing', 'vintage', 'ship', 'airplanes', 'bathroom']
['things', 'television', 'picture', 'photo', 'sitting']
['man', 'picture', 'head', 'photo', 'old']
['picture', 'showing', 'photo', 'sign', 'says']
['dress', 'woman', 'brick', 'holding', 'girl']
['sign', 'reading', 'sitting', 'people', 'book']
['commuter', 'picture', 'bathroom', 'scissors', 'sky']
['blue', 'colorful', 'shaped', 'used', 'multi']
['cat', 'bird', 'bears', 'round', 'black']
['vintage', 'pictures', 'picture', 'different', 'various']
['standing', 'photo', 'video', 'people', 'skateboarder']
['pink', 'sign', 'writing', 'pillows', 'white']
['bear', 'like', 'sign', 'picture', 'woods']
['street', 'city', 'building', 'clock', 'center']
['sign', 'smart', 'green', 'overhead', 'bun']
['drawn', 'clocks', 'pictures', 'vintage', 'decorated']
['pictures', 'picture', 'appliances', 'various', 'multiple']
['umbrella', 'white', 'group', 'photo', 'black']
['chocolate', 'pan', 'number', 'different', 'pointing']
['van', 'cars', 'parked', 'car', 'city']
['picture', 'games', 'smiling', 'standing', 'taken']
['man', 'orange', 'standing', 'men', 'game']
['scissors', 'writing', 'white', 'picture', 'clock']
['cakes', 'covered', 'plate', 'counter', 'sitting']
['smart', 'picture', 'store', 'screen', 'man']
['stop', 'sign', 'showing', 'mother', 'picture']
['signal', 'dark', 'time', 'green', 'sign']
['lights', 'giraffes', 'taken', 'containing', 'lit']
['harbor', 'wood', 'water', 'black', 'reads']
['animals', 'painting', 'board', 'man', 'group']
['black', 'white', 'dark', 'surface', 'planes']
['team', 'group', 'standing', 'uniform', 'players']
['purple', 'lit', 'landing', 'sea', 'ocean']
['shows', 'bag', 'surfboard', 'dog', 'piece']
['vintage', 'cake', 'train', 'walls', 'sitting']
['sitting', 'park', 'white', 'blue', 'stone']
['stacked', 'ripe', 'sign', 'picture', 'stop']
['sheep', 'sky', 'black', 'writing', 'shown']
['vase', 'red', 'filled', 'close', 'sitting']
['dark', 'lights', 'sea', 'sitting', 'colorful']
['smart', 'man', 'pitcher', 'picture', 'phone']
['baseball', 'mother', 'bat', 'painting', 'vintage']
['bathroom', 'picture', 'eyes', 'ripe', 'vintage']
['pink', 'books', 'lined', 'row', 'different']
['kites', 'field', 'water', 'snowy', 'track']
['flower', 'flight', 'event', 'cellphone', 'doors']
['brown', 'bear', 'face', 'standing', 'walking']
['flock', 'flying', 'birds', 'bunch', 'picture']
['meat', 'pitcher', 'sitting', 'giant', 'yellow']
['standing', 'man', 'posing', 'holding', 'men']
['woman', 'girl', 'pretty', 'young', 'wearing']
['sign', 'red', 'pitcher', 'man', 'showing']
['suits', 'man', 'standing', 'men', 'wearing']
['green', 'like', 'animal', 'cake', 'close']
['purple', 'landing', 'bathroom', 'bright', 'picture']
['car', 'parked', 'meter', 'hydrant', 'street']
['commercial', 'scissors', 'black', 'picture', 'bunch']
['smart', 'book', 'picture', 'colors', 'screen']
['green', 'woman', 'cover', 'picture', 'person']
['set', 'airplane', 'sitting', 'mans', 'night']
['dark', 'lit', 'sitting', 'light', 'plane']
['sunset', 'sun', 'airplane', 'flying', 'skateboard']
['sunset', 'rain', 'wet', 'water', 'filled']
['bathroom', 'stuffed', 'picture', 'clock', 'colors']
['blue', 'bush', 'flock', 'green', 'photograph']
['showing', 'flying', 'different', 'sailing', 'people']
['picture', 'mother', 'appliances', 'pictures', 'shelf']
['holding', 'green', 'young', 'poses', 'standing']
['device', 'holding', 'hand', 'counter', 'standing']
['bathroom', 'vintage', 'picture', 'eyes', 'showing']
['blue', 'eyes', 'sign', 'green', 'bright']
['ripe', 'showing', 'bat', 'sign', 'picture']
['glass', 'vases', 'green', 'plastic', 'sitting']
['dark', 'black', 'picture', 'photo', 'image']
['screen', 'showing', 'resting', 'picture', 'photograph']
['car', 'parked', 'meter', 'surfboard', 'parking']
['flower', 'sky', 'resting', 'background', 'flowers']
['phone', 'picture', 'cell', 'reads', 'smart']
['red', 'sitting', 'pulled', 'people', 'long']
['picture', 'commercial', 'showing', 'bird', 'photo']
['fruit', 'sitting', 'coffee', 'shelves', 'open']
['car', 'vehicle', 'edge', 'water', 'track']
['pictures', 'pie', 'shoes', 'photo', 'video']
['bathroom', 'picture', 'ripe', 'bright', 'vintage']
['sky', 'flying', 'line', 'blue', 'traffic']
['man', 'holding', 'beach', 'chair', 'chairs']
['window', 'painting', 'sitting', 'wooden', 'railing']
['picture', 'man', 'photo', 'blue', 'white']
['nose', 'flock', 'sitting', 'black', 'red']
['banana', 'bathroom', 'shorts', 'clocks', 'donut']
['man', 'beach', 'tennis', 'swinging', 'holding']
['hand', 'surface', 'old', 'sheet', 'pastry']
['signs', 'silver', 'sign', 'remote', 'flying']
